image_name,EXPECTED_QUANTITY,asin_1,height_1,length_1,name_1,normalizedName_1,quantity_1,weight_1,width_1,asin_2,height_2,length_2,name_2,normalizedName_2,quantity_2,weight_2,width_2,asin_3,height_3,length_3,name_3,normalizedName_3,quantity_3,weight_3,width_3,asin_4,height_4,length_4,name_4,normalizedName_4,quantity_4,weight_4,width_4
00015,15,B0033UNIQC,0.6999999992859999,10.49999998929,Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),14,0.20000000000000004,3.99999999592,B00E9J3MLM,7.299999992554,8.799999991024002,"Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height","Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height",1,2.3500000000000005,7.699999992146,,,,,,,,,,,,,,,,
00016,12,B0033UNIQC,0.6999999992859999,10.49999998929,Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),11,0.20000000000000004,3.99999999592,B00E9J3MLM,7.299999992554,8.799999991024002,"Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height","Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height",1,2.3500000000000005,7.699999992146,,,,,,,,,,,,,,,,
00017,10,B0033UNIQC,0.6999999992859999,10.49999998929,Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J),9,0.20000000000000004,3.99999999592,B00E9J3MLM,7.299999992554,8.799999991024002,"Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height","Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height",1,2.3500000000000005,7.699999992146,,,,,,,,,,,,,,,,
00037,3,B00F908YU4,3.99999999592,5.799999994084,"12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight","12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight",1,0.6999999999999998,5.699999994186001,B00FMHPX62,0.599999999388,6.099999993778,DEWALT DWA4214 Oscillating Multi-Material Blade,DEWALT DWA4214 Oscillating Multi-Material Blade,1,0.15,4.599999995308,B016CMFESW,0.99999999898,5.299999994594,"2""/5cm Assorted Colors D Shape Spring-loaded Gate Aluminum Carabiner for Home, Rv, Camping, Fishing, Hiking, Traveling and Keychain","2""/5cm Assorted Colors D Shape Spring-loaded Gate Aluminum Carabiner for Home, Rv, Camping, Fishing, Hiking, Traveling and Keychain",1,0.39999999966456384,3.99999999592,,,,,,,,
00038,2,B00F908YU4,3.99999999592,5.799999994084,"12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight","12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight",1,0.6999999999999998,5.699999994186001,B00FMHPX62,0.599999999388,6.099999993778,DEWALT DWA4214 Oscillating Multi-Material Blade,DEWALT DWA4214 Oscillating Multi-Material Blade,1,0.15,4.599999995308,,,,,,,,,,,,,,,,
00049,2,B00KGVCJX4,1.699999998266,8.99999999082,"Victor M162S Clean Kill Mouse Trap, 2-Pack","2-Pack Victor M162S Clean Kill Mouse Trap,",2,0.20000000000000004,5.199999994696,,,,,,,,,,,,,,,,,,,,,,,,
00050,4,0590450875,0.3149606296,12.0472440822,I Spy: A Book of Picture Riddles,I Spy: A Book of Picture Riddles,1,1.1,9.055118101,0836217357,0.599999999388,11.899999987862,The Days are Just Packed: A Calvin and Hobbes Collection,The Days are Just Packed: A Calvin and Hobbes Collection,1,1.35,8.99999999082,B0052AIJT2,2.399999997552,3.899999996022,"Spring Valley - Fenugreek 610 mg, 100 Capsules","Spring Valley - Fenugreek 610 mg, 100 Capsules",1,0.24999999979035234,2.399999997552,B01AWAGTU2,4.099999995817999,13.099999986638,Kingway 2 PCS Patent Laser Toner Cartridge HP 83X CF283X Canon 137 Replacement for HP LaserJet Pro M201dw M255dn Canon imageCLASS MF229dw MF216n Printers,Kingway 2 PCS Patent Laser Toner Cartridge HP 83X CF283X Canon 137 Replacement for HP LaserJet Pro M201dw M255dn Canon imageCLASS MF229dw MF216n Printers,1,1.7499999985324661,4.599999995308
00079,8,B0073E3Q7A,0.49999999949,7.99999999184,"Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack","2-Pack Lodge Manufacturing SCRAPERGPK Grill Pan Scraper,",7,0.02,4.699999995206,B00PAXDQVM,1.199999998776,6.99999999286,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,1,0.022046001186074866,1.3999999985719997,,,,,,,,,,,,,,,,
00080,10,B0073E3Q7A,0.49999999949,7.99999999184,"Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack","2-Pack Lodge Manufacturing SCRAPERGPK Grill Pan Scraper,",7,0.02,4.699999995206,B00ATZJ5YS,1.8999999961239997,7.4999999847,"Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300","Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300",1,0.19999795820485744,4.9999999949,B00N6U92AA,6.399999993472,9.49999999031,"Colgate Total Lasting White Mouthwash, 16.9 Fluid Ounce (Pack of 6)","(Pack of 6) Colgate Total Lasting White Mouthwash, 16.9 Fluid Ounce",1,8.15,8.199999991636,B00PAXDQVM,1.199999998776,6.99999999286,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,1,0.022046001186074866,1.3999999985719997
00081,9,B0073E3Q7A,0.49999999949,7.99999999184,"Lodge Manufacturing SCRAPERGPK Grill Pan Scraper, 2-Pack","2-Pack Lodge Manufacturing SCRAPERGPK Grill Pan Scraper,",7,0.02,4.699999995206,B00ATZJ5YS,1.8999999961239997,7.4999999847,"Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300","Belkin 3-Outlet SurgePlus Mini Travel Swivel Charger Surge Protector with Dual USB Ports (2.1 AMP / 10 Watt), BST300",1,0.19999795820485744,4.9999999949,B00PAXDQVM,1.199999998776,6.99999999286,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,Revitalash Advanced Eyelash Conditioner 2.0 mL 0.068 oz,1,0.022046001186074866,1.3999999985719997,,,,,,,,
